id_entreprise;name;sector;city;country;website;email;revenue;enrollment;average;salary;description;message
accenture;ACCENTURE;Audit & Conseil;;France;http://www.recrute.accenture.fr;campus.france@accenture.com;32,9 Md;380000;;;"Référence mondiale du conseil et des technologies, Accenture accompagne les plus grands groupes internationaux dans leur transformation, de la stratégie à la mise en oeuvre.
A l’heure des révolutions liées au digital (e-commerce, cloud computing, data
analytics, mobilité…), nous combinons nos expertises en stratégie, conseil,
digital, technologie et gestion déléguée d’opérations pour aider nos clients à
renforcer leur performance et créer de la valeur sur le long terme.";"En débutant votre carrière chez Accenture, vous aurez l’opportunité
de donner le meilleur de vous-même au coeur des plus prestigieux
projets de transformation digitale de nos clients, et de développer
votre potentiel sur des sujets innovants.
Rencontrez les anciens de votre école pour échanger autour de leur
métier et de leur cadre de travail ou pour obtenir des conseils en
vue de vos entretiens. Rendez-vous lors du forum sur notre stand
et retrouvez-nous sur les réseaux sociaux !"
acg;ACG SYNERGIES;Divers ;;;;accenture.com;;;;;;
addactis;ADDACTIS GROUP;Informatique & Télécommunication;Bruxelles;Belgique;http://www.addactis.com;"recruitment@addactis.com
pour l’international
recrutement@addactis.com
pour la France";30 M;250;;;"Vous recherchez un stage, une alternance, un V.I.E., un C.D.I., le Groupe
ADDACTIS et ses fliales en France et à l’international vous offrent de
nombreuses opportunités.
Plutôt que de vous décrire nos offres, nous préférons vous décrire les
collaborateurs que nous aimons :
• Les « statisticophiles », actuaires ou pas, mordus des chiffres et du
raisonnement probabiliste qui aimeront relever les défs techniques de nos
métiers ;
• Les « Geeks » perfusés I.T., programmeurs géniaux, modélisateurs passionnés
pour s’investir dans la recherche et développement de nos logiciels ;
• Les « matheux mais pas que », ouverts sur le relationnel client, aptes à
l’écoute, la négociation, l’argumentation, qui aiment que l’analyse serve à
éclairer la prise de décision ;
• Les «start-up oriented», ?exibles, ouverts, curieux, aventureux, qui n’ont pas
peur de remonter leurs manches et d’assumer des responsabilités ;
• Les «Worldwide minded», English speakers, globe-trotters ou sédentaires
mais toujours prêts à collaborer en mode projet avec des pays, des
nationalités et des cultures différentes
• Ceux qui ont à la fois « l’esprit d’entreprendre » et les valeurs humaines pour
donner du sens aux mots « ensemble » et « équipe » ;
• Ceux qui veulent découvrir, avancer, apprendre, se former et qui
s’épanouiront en participant à notre projet de développement.
Le groupe ADDACTIS compte aujourd’hui 250 collaborateurs, nous projetons
d’être 500 dans 5 ans, REJOIGNEZ-NOUS ! Sans être un « mouton à 5
pattes, VOUS êTES UNIQUE et ça nous plaît ! ».";"LET’S IMAGINE OUR FUTURE TOGETHER ?
#ExperienceTheADDACTISWay#WorldwideMinded#StartUpOriented
Le groupe ADDACTIS c’est la force d’un groupe mondial créé depuis
25 ans et l’esprit Start Up réunis.
Notre Business Plan a 5 ans prévoit un doublement du Chiffres
d’Affaires du groupe et s’appuie sur une vague importante de
recrutements, tant en France qu’à l’international.
Faîtes partie de cette aventure ! Nous accordons autant
d’importance à vos qualités humaines et à votre envie de vous
épanouir dans votre poste qu’à vos compétences techniques.
Vous cherchez un job où vous éclater ? Nous cherchons des
collaborateurs motivés et avons les moyens de vous offrir les défs
techniques pour vous épanouir"
afd;AFD.TECH;Informatique & Télécommunication;Paris;France;http://afd.tech/;zmmad@afdtech.com;72 M;1000;;;"AFD Tech (1000 collaborateurs, 72M d’euros de CA) intervient depuis 1998
sur les projets majeurs de conception et d’évolution des services réseaux &
télécoms dans le secteur bancaire, ferroviaire, médias, télécom.
Acteur de la transformation digitale, le groupe accompagne les grandes
entreprises, au travers de prestations d’audit et stratégie, de managed
solutions (forfaits, centres de services) et de consulting (assistance technique).
On accompagne nos clients sur des projets complexes et ambitieux.
On place nos collaborateurs au centre de l’entreprise grâce à un dispositif de
suivi et d’accompagnement personnalisé (AFD University, suivi de carrière,
etc.).
Les équipes AFD.TECH interviennent sur l’ensemble du cycle de vie des projets
de nos clients sur les métiers du Digital, des infrastructures IT, des réseaux SI
& Telecom.";"AFD.TECH est une société jeune est dynamique qui vous offre la
possibilité de vous élever au niveau de votre carrière. Rejoindre
AFD.TECH, c’est rejoindre une ESN qui casse les codes des ESN
à l’ancienne ! Chez AFD.TECH, c’est 25 ans d’âge moyen, esprit
d’équipe et culture start-up garantie ! Think outside the box ! Avec
un objectif, le bonheur de nos consultants et de nos collaborateurs !
Au-delà des compétences, nous cherchons des personnes qui
ont l’esprit entrepreneurial et qui souhaitent contribuer au
développement de l’entreprise avec bien entendu une forte
reconnaissance de la direction."
agap2;AGAP2;Divers ;Lyon;France;http://www.agap2.fr;;300 M;4000;;;"agap2 est un groupe européen d’ingénierie et de conseil opérationnel
spécialisé dans l’industrie.
Fondé en 2005, agap2 est présent dans 9 pays : France, Suisse, Allemagne,
Belgique, Portugal, Espagne, Pays-Bas, UK et Suède.
Au sein de notre société, forte d’une expérience de plus de 10 ans et d’une
croissance constante, nous sommes aujourd’hui près de 4000 agapiens en
France et en Europe.
Nos équipes se positionnent sur 4 pôles d’intervention depuis la phase de
conception d’un projet jusqu’à sa réalisation :
• Etudes et Ingénierie
• Supply Chain Management
• Projets
• Travaux et Commissioning";"Être agapien, c’est se lancer dans une aventure humaine où tout
est possible. C’est évoluer dans un groupe dynamique, dans lequel
le dépassement de soi et l’envie de travailler ensemble sont des
valeurs essentielles.
Pour rejoindre agap2, les candidats peuvent postuler dès à présent
sur : www.agap2.fr
Vous êtes prêt à vous lancer dans une aventure humaine à nos
côtés ? Rejoignez-nous!"
akka;AKKA TECHNOLOGIES;Audit & Conseil;Boulogne-Billancourt;France;http://www.akka-technologies.com;;1,122 Md;15000;;;"AKKA Technologies, Groupe Européen d’Ingénierie et de Conseil en
Technologies, accompagne les grands comptes industriels et tertiaires sur les
différentes étapes de leurs projets, de la R&D et l’étude, à l’industrialisation.
AKKA Technologies, par la maîtrise de métiers complémentaires, apporte une
réelle valeur ajoutée à ses clients tous secteurs confondus : aéronautique,
automobile, spatial/défense, cyber-sécurité, électronique Grand Public,
télécommunications, chimie, pharmacie, sidérurgie, énergie, ferroviaire,
naval, tertiaire...
Leader en Allemagne et en France dans les secteurs de l’Automobile et de
l’Aéronautique, AKKA Technologies intervient dans le monde entier et sur des
projets à la pointe de la technologie grâce à la mobilité de ses équipes et à
un positionnement international. Le Groupe AKKA Technologies compte plus
de 15 000 collaborateurs et est présent dans 20 pays : Allemagne, Belgique,
Canada, Chine, E.A.U, Espagne, France, Hongrie, Italie, Inde, Maroc, PaysBas, République Tchèque, Roumanie, Royaume-Uni, Russie, Suisse, Tunisie,
Turquie, U.S.A. Il se concentre sur la construction d’un Groupe d’1,2 milliard
d’euros, dont plus de 50% hors de France.";Venez nombreux nous rencontrer sur notre stand !
altelios;ALTELIOS TECHNOLOGY;Divers ;Paris;France;http://www.altelios.com;nouscontacter@atelios.com;16,5 M;230;;;"Société de Conseil en Ingénierie depuis plus de 10 ans, Altelios Technology
intervient, avec près de 230 experts répartis sur 8 sites en France et à
l’international, dans différents secteurs d’activité en proposant des solutions
innovantes à ses clients.
Nous abordons chaque projet avec une démarche personnalisée et
intervenons à tous les niveaux du cycle produit, aussi bien de la phase de
conception jusqu’à l’industrialisation.
Nos ingénieurs accompagnent le développement des activités de nos clients
au travers de leur expertise en logiciel embarqué, mécanique, système,
électronique, systèmes d’information et métiers supports.
Avec une structure à taille humaine, nous attachons une volonté particulière à
ce que chacun de nos collaborateurs se sente écouté et compris.
Nous établissons une relation de confiance et de proximité.

Notre credo : le bien-être de nos équipes
ALTELIOS TECHNOLOGY, Accélérateur de projets";"C’est dans un contexte multiculturel que nous recherchons
de nouveaux talents qui partagent les valeurs d’Altélios :
transparence, proximité et professionnalisme.
Nous sommes attachés à l’intégration et à la fidélisation de tous
nos collaborateurs.
Nous sommes sensibles à leurs centres d’intérêts : les métiers,
les projets, les nouvelles technologies, mais aussi à leurs souhaits
d’évolutions, ainsi qu’à leurs conditions de travail.
Nous vous offrons la possibilité de participer à des projets
ambitieux pour les plus grandes enseignes et les plus grands
groupes industriels !
Sur le plan humain, nous développons l’interactivité avec vos
Managers dans une démarche personnalisée afin de construire un
lien durable et constructif.
Votre parcours au sein de notre société est une priorité et se
concrétise par une démarche d’entretiens annuel et professionnel,
de rendez-vous réguliers et de proximité avec votre Manager. C’est
ainsi que nous contribuons à votre épanouissement personnel et
professionnel.
Nous sommes engagés dans un processus pour former nos
collaborateurs dans un souci permanent de contribuer au
développement de vos compétences.
Dans une société qui malgré son développement et sa croissance a
su conserver une structure à taille humaine, Soyons Ensemble dans
cette aventure : notre priorité, c’est vous !
« Et si vous rejoigniez une équipe qui s’inscrit dans le
futur ? »"
alten;Alten;Audit & Conseil;Boulogne-Billancourt;France;http://www.altenrecrute.fr;stages@alten.fr;1,748 Md;26200;;;"ALTEN, leader mondial de l’Ingénierie et du Conseil en Technologies,
accompagne la stratégie de développement de ses clients dans les domaines
de l’innovation, de la R&D et des systèmes d’information technologiques.
L’activité d’ALTEN s’articule autour de trois métiers :
• L’ingénierie et le Conseil en Technologies
• Les Réseaux Télécoms et Multimédia
• Les Systèmes d’Information Technologiques";"Choisir Alten, c’est choisir une entreprise en pleine croissance qui
vous valorise et vous engage sur des projets innovants et de haut
niveau.
Valorisation et reconnaissance :
•        ALTEN accélère votre carrière. Grâce à une université interne,
vous pourrez monter en compétences et développer votre
expertise technique quotidiennement.
•        ALTEN vous valorise et remercie via des programmes tels que «
Nos salariés ont du talent » et les « ALTEN Awards »
travaillez sur des projets passionnants :
•        Mettez l’innovation au cœur de votre métier. Avec ALTEN
vous serez au cœur de projets innovants et stratégiques. Vous
prendrez part à des partenariats technologiques de haut niveau
en travaillant pour des clients prestigieux tels que AIRBUS,
le Centre National d’Etude Spatiales (CNES), PSA ou encore
Décathlon.
•        Misez sur un groupe en pleine croissance et sur un
développement à l’international
•        Intégrez une entreprise qui s’engage pour la promotion des
flières scientifques et des métiers de l’ingénieur."
altran;ALTRAN;Divers ;Vélizy-Villacoublay;France;http://www.altran.fr;;2,120 Md ;30 000;;;"Leader mondial du conseil en ingénierie et services R&D, Altran accompagne
les plus grands groupes industriels dans la recherche et le développement de
nouveaux produits et services innovants.
Auprès des grands acteurs de l’automobile, de l’aérospatial,
de l’énergie, du ferroviaire, de la santé, des télécoms, ..., nos
ingénieurs évoluent dans un environnement stimulant et créatif et proposèrent
des solutions sur mesure pour répondre aux enjeux et aux défis technologiques
d’aujourd’hui et de demain, (IoT, Autonomous Driving, BI Big Data,
intelligence artificielle, ingénierie système, développement
software, cybersécurité, architecture d’entreprise, e-santé...).";"1. Ambiance de travail agréable, créative, dynamique et en équipe
2. Innovation et challenge
3. Diversité des missions
4. Responsabilités managériales et techniques rapides
5. Environnement international"
amaris;Amaris;Audit & Conseil;Lyon;France;http://www.amaris.com;talent@amaris.com;180 M;3500;;;"Amaris est un cabinet indépendant et international de Conseil en Management
et Technologies créé en 2007 à l’esprit de start up. Présent dans plus
de 45 pays, le groupe accompagne ses clients tout au long du cycle de
réalisation de leurs projets. L’expertise d’Amaris s’étend sur cinq domaines :
Business et Management, IT/IS, Telecom, Ingénierie et Hautes Technologies,
Biotechnologies et Pharmaceutiques. Amaris agit ainsi sur l’organisation, les
systèmes d’information et technologies de ses clients afn de leur permettre
d’atteindre leurs objectifs et d’améliorer leurs performances. Fort de plus de
60 bureaux dans le monde le Groupe apporte un soutien de proximité à
ses clients dans toutes leurs implantations en répondant aux besoins du tissu
économique local.
En 2017, Amaris a atteint les 180 millions d’euros de chiffre d’affaires et
les 3500 employés. Fort de ce développement, le Groupe entend tripler ses
effectifs au cours des prochaines années et atteindre une position de leader
international du conseil indépendant.";"Amaris est en pleine croissance et recrute des talents passionnés
de technologies, désireux d’évoluer rapidement dans un
environnement international !
Vous êtes dynamique, avez un esprit entrepreneurial et recherchez
un projet challengeant ?
Rejoignez nos équipes à travers le monde: talent@amaris.com"
