name,sector,city,country,website,revenue,enrollment,salary
G.C.A.T. Assistance Technique à l'International,BTP,Boulogne-Billancourt,France,www.gcat.net,,15,
SENTELIS,Audit & Conseil,Neuilly-Sur-Seine,France,job.sentelis.com,"4,2 M€",35,40 000€ - 50 000€
Saint-Gobain,Industrie,Paris,France,www.saint-gobain-experience.com ,"39,6 Md€",170000,
EXTIa,Audit & Conseil,Lyon,France,extia.fr,70 M€,900,30 00€ - 50 000€
RTE,"Énergie, Environnement, Chimie",Puteaux,France,www.rte-france.com,4 Md€,8500,33 500€ - 36 600€
Wavestone,Audit & Conseil,Paris,France,www.wavestone.com,310 M€,2500,38 000€ - 44 000€
Solutec,"Informatique, Édition de logiciels, Services de l'information",Lyon,France,www.solutec.fr,53 M€,850,
GSE,BTP,Avignon,France,www.gsegroup.com ,360 M€,334,32 500€ - 37 000€
Arkema,"Énergie, Environnement, Chimie",Colombes,France,arkema.com,"7,1 Md€",19000,39 000€
ELCIA,"Informatique, Édition de logiciels, Services de l'information",Brignais,France,elcia.com/join-us/,10 M€,110,30 000€ - 50 000€
ACCENTURE,Audit & Conseil,Paris,France,recrute.accenture.fr,"32,9 Md€",380000,
Orange,"Informatique, Télécommunication, Électronique",Paris ,France,orange.jobs,40 Md€,,
Pellenc ST,Industrie,Pertuis,France,pellencst.com/fr/,26 M€,138,30 000€ - 40 000€
Léon Grosse,BTP,Versailles,France,leongrosse.fr,800 M€,2360,34 000€ - 36 000€
Elis,Industrie,Puteaux,France,www.corporate-elis.com,"1,4 Md€",21000,30 000€ - 36 000€
NATIONAL INSTRUMENTS,"Informatique, Télécommunication, Électronique",Nanterre,France,ni.com,"1,23 Md€",7800,
CGI ,"Informatique, Télécommunication, Électronique",Paris,France,www.cgi-recrute.fr,900 M€,10000,
Solvay,"Énergie, Environnement, Chimie",Paris,France,www.solvay.fr,"12,4 Md€",31000,
Systra,Transport,Paris,France,www.systra.com,623 M€,5700,
Keyence,Industrie,Courbevoie,France,www.keyence.fr,31 M€,110,
Euro Engineering,Audit & Conseil,Lyon,France,http://www.euro-engineering.fr/default.aspx et http://www.modisfrance.fr/  ,"3,72 Md€",40000,30 000€ - 50 000€
Sentelis,"Informatique, Édition de logiciels, Services de l'information",Neuilly-Sur-Seine,France,http://www.jobsentelis.com/ ,,40,40 000€ - 50 000€
SAFRAN,Industrie,Issy Les Moulineaux,France,www.safran-group.com,"17,4 M€",70,
SPC CONSULTANTS - GROUPE SPC,"Informatique, Édition de logiciels, Services de l'information",Saint Genis Laval,France,groupe-spc.com ,"7,3 M€",82,
EY,Audit & Conseil,Courbevoie,France,www.ey.com/fr/carrieres,954 M€,5000,
ABMI,Audit & Conseil,Saint Priest,France,http://www.abmi-groupe.com,50 M€,700,31 000 - 33 500€
QUALICONSULT,BTP,Velizy Cedex,France,http://www.groupe-qualiconsult.fr/,183 K€,2200,30 000€ - 50 000€
Servair,Agro-Alimentaire Grande Distribution,Roissy Cdg,France,www.servair.fr,792 M€,10000,37 000€ - 40 000€
GROUPE SOPREMA,BTP,Strasbourg,France,http://www.soprema-entreprises.com/,"2,13 Md€",6260,
mc²i Groupe,"Informatique, Édition de logiciels, Services de l'information",Paris,France,www.mc2i.fr,58 M€,550,
ELCIA,"Informatique, Édition de logiciels, Services de l'information",Brignais,France,www.elcia.com,10 M€,110,32 000€ - 50 000€
Groupe Volvo Renault Trucks,Industrie,Saint-Priest Cedex,France,www.volvogroup.jobs,"33,4 Md€",10000,
GROUPE ATLANTIC,Industrie,La Roche-Sur-Yon,France,groupe-atlantic.com,"1,35 Md€",5900,30000€  - 34000€
Hexcel,Industrie,Dagneux,France,https://hexcel.wd5.myworkdayjobs.com/HexcelCareers/jobs,,6000,
EIFFAGE,BTP,Velizy-Villacoublay,France,www.eiffage.com,14 Md€,70000,
EIFFAGE,BTP,Vélizy-Villacoublay,France,www.eiffage.com,14 Md€,70000,35 000€ - 40 000€
EGIS,Transport,Saint-Quentin-En-Yvelines,France,www.egis.fr,937 M€,13000,
ANRT/CIFRE,R&D,Paris,France,www.anrt.asso.fr,,30,
DCNS,Industrie,Paris,France,http://fr.dcnsgroup.com/talents/,3 Md€,13000,
GO CONCEPT,Audit & Conseil,Lyon,France,www.goconcept.ch,10 M€,140,
Worldline,"Informatique, Édition de logiciels, Services de l'information",Villeurbanne,France,www.worldline.com,"12,2 M€",8600,32000€ - 36000€
VEOLIA,"Énergie, Environnement, Chimie",Paris,France,veolia.com,"24,9 Md€",173000,
Plastic Omnium,Industrie,Sainte-Julie,France,www.plasticomnium.com,6 Md€,30000,
Bobst,Industrie,Villeurbanne,France,www.bobst.com,,5000,
CAPGEMINI FRANCE,"Informatique, Édition de logiciels, Services de l'information",Suresnes Cedex,France,fr.capgemini.com,"11,9 Md€",180000,
